province,last_updated,date,change_cases,change_fatalities,change_tests,change_hospitalizations,change_criticals,change_recoveries,change_vaccinations,change_vaccinated,change_vaccines_distributed,total_cases,total_fatalities,total_tests,total_hospitalizations,total_criticals,total_recoveries,total_vaccinations,total_vaccinated,total_vaccines_distributed
,,2020-10-30,272,1,10420,-8,1,222,0,,,14381,263,827496,78,25,11670,0,,
,,2020-10-31,352,0,0,0,0,0,0,,,14733,263,827496,78,25,11670,0,,
,,2020-11-01,389,0,0,0,0,0,0,,,15122,263,827496,78,25,11670,0,,
,,2020-11-02,379,6,0,12,-6,617,0,,,15501,269,827496,90,19,12287,0,,
,,2020-11-03,299,3,0,2,3,143,0,,,15800,272,827496,92,22,12430,0,,
,,2020-11-04,335,1,0,0,3,229,0,,,16135,273,827496,92,25,12659,0,,
,,2020-11-05,425,0,0,5,-1,0,0,,,16560,273,827496,97,24,12659,0,,
,,2020-11-06,589,2,0,7,4,376,0,,,17149,275,827496,104,28,13035,0,,
,,2020-11-07,567,0,0,0,3,0,0,,,17716,275,827496,104,31,13035,0,,
,,2020-11-08,536,1,78619,0,0,0,0,,,18252,276,906115,104,31,13035,0,,
,,2020-11-09,462,5,10688,29,12,390,0,,,18714,281,916803,133,43,13425,0,,
,,2020-11-10,525,3,5823,9,3,279,0,,,19239,284,922626,142,46,13704,0,,
,,2020-11-11,536,0,0,0,0,0,0,,,19775,284,922626,142,46,13704,0,,
,,2020-11-12,593,4,23133,13,-2,385,0,,,20368,288,945759,155,44,14089,0,,
,,2020-11-13,617,2,9480,12,6,812,0,,,20985,290,955239,167,50,14901,0,,
,,2020-11-14,654,0,0,0,0,0,0,,,21639,290,955239,167,50,14901,0,,
,,2020-11-15,659,0,0,0,0,0,0,,,22298,290,955239,167,50,14901,0,,
,,2020-11-16,646,9,32557,14,7,1186,0,,,22944,299,987796,181,57,16087,0,,
